曲名,id,time,EXPERT,FC定数,AP定数,MASTER,FC定数,AP定数
心泥夢(syndrome),444,20240122,27,,,31,,
Sage,448,20240118,29,,,32,,
MOTTO!!!,405,20240115,23,,,27,,
folern,447,20240111,30,,,32,,
ハイドアンド・シーク,438,20240109,24,,,28,,
くうになる,417,20240105,24,,,29,,
『んっあっあっ。』,430,20240104,24,,,28,,
エンヴィーベイビー,402,20240103,23,,,28,,
ヒアソビ,433,20240102,27,,,31,,
強風オールバック,432,20240101,24,,,28,,
一千光年,439,20231231,25,,,30,,
金木犀,418,20231230,26,,,29,,
25時の情熱,409,20231229,22,,,25,,
初めての恋が終わる時,407,20231228,25,,,29,,
スロウダウナー,378,20231225,26,,,30,30.3,30.3
オーバーコード,446,20231222,26,,,30,30.5,30.5
難聴系男子が倒せない,341,20231218,25,,,30,30.2,30.2
ショウタイム×オーディエンス,440,20231211,25,,,30,30.4,30.4
Beyond the way,398,20231208,25,,,28,28.2,28.2
さよならプリンセス,413,20231204,26,,,30,30.1,30.1
フィラメントフィーバー,397,20231128,25,,,29,29.5,29.5
キュートなカノジョ,391,20231122,26,,,30,30.3,30.3
On&On,426,20231113,23,,,27,27.1,27.1
ARQETYPE,406,20231110,27,,,31,31.2,31.2
春嵐,392,20231106,27,,,30,30.4,30.4
トワイライトライト,384,20231101,22,,,26,26.5,26.5
はぐ,429,20231031,24,,,29,29,29
purpose,383,20231029,24,,,28,28.5,28.5
我儘姫,376,20231025,26,,,30,30.5,30.5
悪役にキスシーンを,377,20231023,25,,,29,29.5,29.5
Cool Me Down,425,20231016,25,,,29,29.2,29.2
CR詠ZY,421,20231012,24,,,28,28.4,28.4
Dear,390,20231011,23,,,28,28.3,28.3
神っぽいな,385,20231010,25,,,29,29.2,29.2
番凩,403,20231009,24,,,27,27.5,27.5
すきなことだけでいいです,367,20231008,26,,,31,31.1,31.1
デビルじゃないもん,412,20231007,26,,,29,29.5,29.5
恋は戦争,365,20231006,23,,,27,27,27
